EVALUATION SUMMARY

  Graphs Generated From    Total Graphs    Graph Coverage
-----------------------  --------------  ----------------
                     26              29          0.896552

Graph Name                    Results  Reason
--------------------------  ---------  ----------------------
idArea1_subgraph                   48  Successfully generated
idBear1_subgraph                 1352  Successfully generated
idBumper1_subgraph               1098  Successfully generated
idBush1_subgraph                   20  Successfully generated
idCar1_subgraph                  1699  Successfully generated
idCarDoor1_subgraph              1450  Successfully generated
idCarKey1_subgraph                960  Successfully generated
idClearing1_subgraph              480  Successfully generated
idCrowbar1_subgraph                 0  ERG did not generate
idDen1_subgraph                    10  Successfully generated
idHorse1_subgraph                  10  Successfully generated
idLock1_subgraph                  920  Successfully generated
idMan1_subgraph                    72  Successfully generated
idPassenger1_subgraph              10  Successfully generated
idPlayerBackside_subgraph         628  Successfully generated
idPlayerLeftHand_subgraph        2397  Successfully generated
idPlayerRightHand_subgraph         96  Successfully generated
idPlayer_subgraph                  60  Successfully generated
idSideMirror1_subgraph              0  Graph contains cycles
idCarDoor1_subgraph_idDescriptor__2        True            MRS composed                            True               Included in MRS
idCarDoor1_subgraph_idLockMechanism_1      True            MRS composed                            True               Included in MRS
idCarDoor1_subgraph_idOpenState_3          True            MRS composed                            True               Included in MRS
idCarKey1_subgraph_idColor_1               True            MRS composed                            True               Included in MRS
idCarKey1_subgraph_idDescriptor_3          True            MRS composed                            True               Included in MRS
idCarKey1_subgraph_idImmovable_4           True            MRS composed                            True               Included in MRS
idCarKey1_subgraph_idUnknownObject_2       True            MRS composed                            True               Included in MRS
idCarKey1_subgraph_isWestOf_3              True            MRS composed                            True               Included in MRS
idClearing1_subgraph_idColor_2             True            MRS composed                            True               Included in MRS
idClearing1_subgraph_idDescriptor_1        True            MRS composed                            True               Included in MRS
idClearing1_subgraph_idUnknownObject_3     True            MRS composed                            True               Included in MRS
idClearing1_subgraph_isEastOf_2            True            MRS composed                            True               Included in MRS
idCrowbar1_subgraph_idColor_1              True            MRS composed                            True               Included in MRS
idCrowbar1_subgraph_idDescriptor_2         True            MRS composed                            True               Included in MRS
idCrowbar1_subgraph_idDescriptor_5         True            MRS composed                            True               Included in MRS
idCrowbar1_subgraph_idImmovable_4          True            MRS composed                            True               Included in MRS
idCrowbar1_subgraph_idUnknownObject_3      True            MRS composed                            True               Included in MRS
idCrowbar1_subgraph_isEastOf_4             True            MRS composed                            True               Included in MRS
idCrowbar1_subgraph_isWestOf_6             True            MRS composed                            True               Included in MRS
idHorse1_subgraph_idColor_1                True            MRS composed                            True               Included in MRS
idLock1_subgraph_idColor_2                 True            MRS composed                            True               Included in MRS
idLock1_subgraph_idImmovable_3             True            MRS composed                            True               Included in MRS
idLock1_subgraph_idLockedState_1           True            MRS composed                            True               Included in MRS
idLock1_subgraph_isWestOf_2                True            MRS composed                            True               Included in MRS
idMan1_subgraph_idDescriptor__3            True            MRS composed                            True               Included in MRS
idMan1_subgraph_idImmovable_2              True            MRS composed                            True               Included in MRS
idMan1_subgraph_idUnknownObject_1          True            MRS composed                            True               Included in MRS
idPlayerBackside_subgraph_idDescriptor_1   True            MRS composed                            True               Included in MRS
idPlayerBackside_subgraph_idDescriptor_2   True            MRS composed                            True               Included in MRS
idPlayerBackside_subgraph_idDescriptor__3  True            MRS composed                            True               Included in MRS
idPlayerBackside_subgraph_isEastOf_2       True            MRS composed                            True               Included in MRS
idPlayerBackside_subgraph_isWestOf_1       True            MRS composed                            True               Included in MRS
idPlayerBackside_subgraph_isWestOf_4       True            MRS composed                            True               Included in MRS
idPlayerLeftHand_subgraph_idDescriptor__2  False           Inbound to failed node                  False              Inbound to failed node
idPlayerLeftHand_subgraph_idDescriptor__3  True            MRS composed                            True               Included in MRS
idPlayerLeftHand_subgraph_idLocation_1     True            MRS composed                            True               Included in MRS
idPlayerLeftHand_subgraph_isWestOf_2       True            MRS composed                            True               Included in MRS
idPlayerRightHand_subgraph_idLocation_1    True            MRS composed                            True               Included in MRS
idPlayer_subgraph_idEatenBerry_1           False           'idEatenBerry' has no value in lexicon  False              'idEatenBerry' has no value in lexicon
idPlayer_subgraph_isEastOf_2               True            MRS composed                            True               Included in MRS
idSmoke1_subgraph_idImmovable_1            True            MRS composed                            True               Included in MRS
idSmoke1_subgraph_idImmovable_3            True            MRS composed                            True               Included in MRS
idSmoke1_subgraph_idSize_2                 True            MRS composed                            True               Included in MRS
idSmoke1_subgraph_isEastOf_2               True            MRS composed                            True               Included in MRS
idSpill1_subgraph_idColor_1                True            MRS composed                            True               Included in MRS
idSpill1_subgraph_idImmovable_2            True            MRS composed                            True               Included in MRS
idSpill1_subgraph_isEastOf_3               True            MRS composed                            True               Included in MRS
idStump1_subgraph_idColor_5                True            MRS composed                            True               Included in MRS
idStump1_subgraph_idDescriptor_2           True            MRS composed                            True               Included in MRS
idStump1_subgraph_idDescriptor_4           True            MRS composed                            True               Included in MRS
idStump1_subgraph_idDescriptor__1          True            MRS composed                            True               Included in MRS
idStump1_subgraph_idDescriptor__5          False           Inbound to failed node                  False              Inbound to failed node
idStump1_subgraph_idImmovable_3            True            MRS composed                            True               Included in MRS
idStump1_subgraph_isNear_6                 True            MRS composed                            True               Included in MRS
idStump1_subgraph_isNorthOf_5              True            MRS composed                            True               Included in MRS
idStump1_subgraph_isWestOf_4               True            MRS composed                            True               Included in MRS
idTheCarRoom1_subgraph_idColor_2           True            MRS composed                            True               Included in MRS
idTheCarRoom1_subgraph_idDescriptor_1      True            MRS composed                            True               Included in MRS
idTheCarRoom1_subgraph_idImmovable_3       True            MRS composed                            True               Included in MRS
idTheCarRoom1_subgraph_isEastOf_4          True            MRS composed                            True               Included in MRS
idTheCarRoom1_subgraph_isWestOf_2          True            MRS composed                            True               Included in MRS
idTire1_subgraph_idColor_1                 True            MRS composed                            True               Included in MRS
idTrunk1_subgraph_idColor_1                True            MRS composed                            True               Included in MRS
idTrunk1_subgraph_idColor_5                True            MRS composed                            True               Included in MRS
idTrunk1_subgraph_idDescriptor_2           True            MRS composed                            True               Included in MRS
idTrunk1_subgraph_idDescriptor_4           True            MRS composed                            True               Included in MRS
idTrunk1_subgraph_idDescriptor__3          True            MRS composed                            True               Included in MRS
idTrunk1_subgraph_idUnknownObject_6        True            MRS composed                            True               Included in MRS
idTrunk1_subgraph_isEastOf_5               True            MRS composed                            True               Included in MRS
idTrunk1_subgraph_isWestOf_4               True            MRS composed                            True               Included in MRS
idWhistle1_subgraph_idColor_2              True            MRS composed                            True               Included in MRS
idWhistle1_subgraph_idDescriptor_1         True            MRS composed                            True               Included in MRS
idWhistle1_subgraph_idImmovable_3          True            MRS composed                            True               Included in MRS
idWhistle1_subgraph_idLitState_4           True            MRS composed                            True               Included in MRS
idWhistle1_subgraph_isEastOf_3             True            MRS composed                            True               Included in MRS
idWhistle1_subgraph_isEastOf_4             True            MRS composed                            True               Included in MRS
idWindow1_subgraph_idDescriptor_3          True            MRS composed                            True               Included in MRS
idWindow1_subgraph_idImmovable_2           True            MRS composed                            True               Included in MRS
idWindow1_subgraph_idOwnedBy_1             False           Inbound to failed node                  False              Inbound to failed node
