EVALUATION SUMMARY

  Graphs Generated From    Total Graphs    Graph Coverage
-----------------------  --------------  ----------------
                     26              29          0.896552

Graph Name                    Results  Reason
--------------------------  ---------  ----------------------
idArea1_subgraph                   48  Successfully generated
idBear1_subgraph                 1133  Successfully generated
idTire1_subgraph_black_2                        True            MRS fragment produced                   True               Included in MRS
idTire1_subgraph_idTire_1                       True            MRS fragment produced                   True               Included in MRS
idTrunk1_subgraph_black_2                       True            MRS fragment produced                   True               Included in MRS
idTrunk1_subgraph_black_9                       True            MRS fragment produced                   True               Included in MRS
idTrunk1_subgraph_cracked_6                     True            MRS fragment produced                   True               Included in MRS
idTrunk1_subgraph_idCarKey_8                    True            MRS fragment produced                   True               Included in MRS
idTrunk1_subgraph_idTrunk_1                     True            MRS fragment produced                   True               Included in MRS
idTrunk1_subgraph_idWhistle_5                   True            MRS fragment produced                   True               Included in MRS
idTrunk1_subgraph_true_10                       True            MRS fragment produced                   False              Descends from failed edge
idTrunk1_subgraph_unbroken_3                    True            MRS fragment produced                   True               Included in MRS
idTrunk1_subgraph_untouched_4                   True            MRS fragment produced                   True               Included in MRS
idTrunk1_subgraph_white_7                       True            MRS fragment produced                   True               Included in MRS
idWhistle1_subgraph_cracked_2                   True            MRS fragment produced                   True               Included in MRS
idWhistle1_subgraph_idSmoke_4                   True            MRS fragment produced                   True               Included in MRS
idWhistle1_subgraph_idTaillight_6               True            MRS fragment produced                   True               Included in MRS
idWhistle1_subgraph_idWhistle_1                 True            MRS fragment produced                   True               Included in MRS
idWhistle1_subgraph_unlit_7                     True            MRS fragment produced                   True               Included in MRS
idWhistle1_subgraph_white_3                     True            MRS fragment produced                   True               Included in MRS
idWhistle1_subgraph_yes_5                       True            MRS fragment produced                   False              Descends from failed edge
idWindow1_subgraph_dark_4                       True            MRS fragment produced                   True               Included in MRS
idWindow1_subgraph_idDriver_2                   False           'idDriver' has no value in the lexicon  False              'idDriver' has no value in the lexicon
idWindow1_subgraph_idWindow_1                   True            MRS fragment produced                   True               Included in MRS
idWindow1_subgraph_yes_3                        True            MRS fragment produced                   False              Descends from failed edge

Edge                                       MRS Composed    Reason                                     Included in MRS    Reason
-----------------------------------------  --------------  -----------------------------------------  -----------------  -----------------------------------------
idArea1_subgraph_idDescriptor_1            True            MRS composed                               True               Included in MRS
idArea1_subgraph_idDescriptor__2           False           Inbound to failed node                     False              Inbound to failed node
idBear1_subgraph_idColor_4                 True            MRS composed                               True               Included in MRS
idBear1_subgraph_idDescriptor_3            True            MRS composed                               True               Included in MRS
idBear1_subgraph_idDescriptor__8           True            MRS composed                               True               Included in MRS
idBear1_subgraph_idDescriptor__9           False           Inbound to failed node                     False              Inbound to failed node
idBear1_subgraph_idImmovable_1             False           'idImmovable' has no value in lexicon      False              'idImmovable' has no value in lexicon
idBear1_subgraph_idSize_2                  True            MRS composed                               True               Included in MRS
idBear1_subgraph_idUnknownObject_5         False           'idUnknownObject' has no value in lexicon  False              'idUnknownObject' has no value in lexicon
idBear1_subgraph_isInsideOf_6              True            MRS composed                               True               Included in MRS
idBear1_subgraph_isNear_10                 True            MRS composed                               True               Included in MRS
idBear1_subgraph_isSouthOf_7               True            MRS composed                               True               Included in MRS
idBear1_subgraph_isWestOf_11               True            MRS composed                               True               Included in MRS
idBumper1_subgraph_idColor_3               True            MRS composed                               True               Included in MRS
idBumper1_subgraph_idUnknownObject_4       False           'idUnknownObject' has no value in lexicon  False              'idUnknownObject' has no value in lexicon
idBumper1_subgraph_isInsideOf_2            True            MRS composed                               True               Included in MRS
idBumper1_subgraph_isNear_1                True            MRS composed                               True               Included in MRS
idBumper1_subgraph_isNear_5                True            MRS composed                               True               Included in MRS
idBush1_subgraph_idColor_1                 True            MRS composed                               True               Included in MRS
idBush1_subgraph_idImmovable_2             False           'idImmovable' has no value in lexicon      False              'idImmovable' has no value in lexicon
idCar1_subgraph_idColor_1                  True            MRS composed                               True               Included in MRS
idCar1_subgraph_idDescriptor_2             True            MRS composed                               True               Included in MRS
idCar1_subgraph_idImmovable_3              False           'idImmovable' has no value in lexicon      False              'idImmovable' has no value in lexicon
idCar1_subgraph_idLitState_4               True            MRS composed                               True               Included in MRS
idCar1_subgraph_isEastOf_6                 True            MRS composed                               True               Included in MRS
idCar1_subgraph_isWestOf_5                 True            MRS composed                               True               Included in MRS
idCarDoor1_subgraph_idDescriptor__2        True            MRS composed                               True               Included in MRS
idCarDoor1_subgraph_idLockMechanism_1      True            MRS composed                               True               Included in MRS
idCarDoor1_subgraph_idOpenState_3          True            MRS composed                               True               Included in MRS
idCarKey1_subgraph_idColor_1               True            MRS composed                               True               Included in MRS
idCarKey1_subgraph_idDescriptor_3          True            MRS composed                               True               Included in MRS
idCarKey1_subgraph_idImmovable_4           False           'idImmovable' has no value in lexicon      False              'idImmovable' has no value in lexicon
idCarKey1_subgraph_idUnknownObject_2       False           'idUnknownObject' has no value in lexicon  False              'idUnknownObject' has no value in lexicon
idCarKey1_subgraph_isWestOf_5              True            MRS composed                               True               Included in MRS
idClearing1_subgraph_idColor_2             True            MRS composed                               True               Included in MRS
idClearing1_subgraph_idDescriptor_1        True            MRS composed                               True               Included in MRS
idClearing1_subgraph_idUnknownObject_3     False           'idUnknownObject' has no value in lexicon  False              'idUnknownObject' has no value in lexicon
idClearing1_subgraph_isEastOf_4            True            MRS composed                               True               Included in MRS
idCrowbar1_subgraph_idColor_1              True            MRS composed                               True               Included in MRS
